GEO_ID,NAME,Total
0500000US37001,"Alamance County, North Carolina",156158
0500000US37003,"Alexander County, North Carolina",35748
0500000US37005,"Alleghany County, North Carolina",10850
0500000US37007,"Anson County, North Carolina",23469
0500000US37009,"Ashe County, North Carolina",26451
0500000US37011,"Avery County, North Carolina",14231
0500000US37013,"Beaufort County, North Carolina",46721
0500000US37015,"Bertie County, North Carolina",18322
0500000US37017,"Bladen County, North Carolina",33290
0500000US37019,"Brunswick County, North Carolina",125787
0500000US37021,"Buncombe County, North Carolina",248033
0500000US37023,"Burke County, North Carolina",87000
0500000US37025,"Cabarrus County, North Carolina",199612
0500000US37027,"Caldwell County, North Carolina",80561
0500000US37029,"Camden County, North Carolina",10447
0500000US37031,"Carteret County, North Carolina",67559
0500000US37033,"Caswell County, North Carolina",21830
0500000US37035,"Catawba County, North Carolina",153965
0500000US37037,"Chatham County, North Carolina",68973
0500000US37039,"Cherokee County, North Carolina",27293
0500000US37041,"Chowan County, North Carolina",13875
0500000US37043,"Clay County, North Carolina",10785
0500000US37045,"Cleveland County, North Carolina",95262
0500000US37047,"Columbus County, North Carolina",53198
0500000US37049,"Craven County, North Carolina",97756
0500000US37051,"Cumberland County, North Carolina",316425
0500000US37053,"Currituck County, North Carolina",25612
0500000US37055,"Dare County, North Carolina",35537
0500000US37057,"Davidson County, North Carolina",162196
0500000US37059,"Davie County, North Carolina",41671
0500000US37061,"Duplin County, North Carolina",58382
0500000US37063,"Durham County, North Carolina",292926
0500000US37065,"Edgecombe County, North Carolina",52536
0500000US37067,"Forsyth County, North Carolina",361175
0500000US37069,"Franklin County, North Carolina",63272
0500000US37071,"Gaston County, North Carolina",213482
0500000US37073,"Gates County, North Carolina",11490
0500000US37075,"Graham County, North Carolina",8424
0500000US37077,"Granville County, North Carolina",56091
0500000US37079,"Greene County, North Carolina",18635
0500000US37081,"Guilford County, North Carolina",506440
0500000US37083,"Halifax County, North Carolina",50311
0500000US37085,"Harnett County, North Carolina",126783
0500000US37087,"Haywood County, North Carolina",59656
0500000US37089,"Henderson County, North Carolina",112230
0500000US37091,"Hertford County, North Carolina",21932
0500000US37093,"Hoke County, North Carolina",51554
0500000US37095,"Hyde County, North Carolina",4761
0500000US37097,"Iredell County, North Carolina",170787
0500000US37099,"Jackson County, North Carolina",38442
0500000US37101,"Johnston County, North Carolina",189205
0500000US37103,"Jones County, North Carolina",9655
0500000US37105,"Lee County, North Carolina",59157
0500000US37107,"Lenoir County, North Carolina",55958
0500000US37109,"Lincoln County, North Carolina",80601
0500000US37111,"McDowell County, North Carolina",44037
0500000US37113,"Macon County, North Carolina",34140
0500000US37115,"Madison County, North Carolina",20337
0500000US37117,"Martin County, North Carolina",22864
0500000US37119,"Mecklenburg County, North Carolina",1039018
0500000US37121,"Mitchell County, North Carolina",14614
0500000US37123,"Montgomery County, North Carolina",26248
0500000US37125,"Moore County, North Carolina",94456
0500000US37127,"Nash County, North Carolina",92007
0500000US37129,"New Hanover County, North Carolina",217333
0500000US37131,"Northampton County, North Carolina",19290
0500000US37133,"Onslow County, North Carolina",173402
0500000US37135,"Orange County, North Carolina",131789
0500000US37137,"Pamlico County, North Carolina",12007
0500000US37139,"Pasquotank County, North Carolina",37045
0500000US37141,"Pender County, North Carolina",57752
0500000US37143,"Perquimans County, North Carolina",13294
0500000US37145,"Person County, North Carolina",38722
0500000US37147,"Pitt County, North Carolina",170510
0500000US37149,"Polk County, North Carolina",20149
0500000US37151,"Randolph County, North Carolina",141181
0500000US37153,"Richmond County, North Carolina",43638
0500000US37155,"Robeson County, North Carolina",129821
0500000US37157,"Rockingham County, North Carolina",89819
0500000US37159,"Rowan County, North Carolina",135388
0500000US37161,"Rutherford County, North Carolina",65306
0500000US37163,"Sampson County, North Carolina",62674
0500000US37165,"Scotland County, North Carolina",32625
0500000US37167,"Stanly County, North Carolina",59171
0500000US37169,"Stokes County, North Carolina",45349
0500000US37171,"Surry County, North Carolina",71076
0500000US37173,"Swain County, North Carolina",14061
0500000US37175,"Transylvania County, North Carolina",32469
0500000US37177,"Tyrrell County, North Carolina",3425
0500000US37179,"Union County, North Carolina",223824
0500000US37181,"Vance County, North Carolina",43700
0500000US37183,"Wake County, North Carolina",1024221
0500000US37185,"Warren County, North Carolina",19078
0500000US37187,"Washington County, North Carolina",11955
0500000US37189,"Watauga County, North Carolina",48369
0500000US37191,"Wayne County, North Carolina",120644
0500000US37193,"Wilkes County, North Carolina",67389
0500000US37195,"Wilson County, North Carolina",79774
0500000US37197,"Yadkin County, North Carolina",37310
0500000US37199,"Yancey County, North Carolina",17509
