COUNTYID,C03
Appling,610
Atkinson,78
Bacon,202
Baker,30
Baldwin,2186
Banks,565
Barrow,1755
Bartow,3410
Ben Hill,194
Berrien,305
Bibb,7987
Bleckley,228
Brantley,180
Brooks,239
Bryan,848
Bulloch,2119
Burke,922
Butts,612
Calhoun,93
Camden,1128
Candler,273
Carroll,3307
Catoosa,2006
Charlton,200
Chatham,12504
Chattahoochee,48
Chattooga,455
Cherokee,4765
Clarke,5797
Clay,32
Clayton,11566
Clinch,92
Cobb,26794
Coffee,372
Colquitt,1038
Columbia,3233
Cook,502
Coweta,3191
Crawford,44
Crisp,839
Dade,395
Dawson,607
Decatur,768
DeKalb,32561
Dodge,340
Dooly,314
Dougherty,3835
Douglas,4644
Early,28
Echols,45
Effingham,1073
Elbert,502
Emanuel,491
Evans,208
Fannin,539
Fayette,3271
Floyd,4030
Forsyth,3897
Franklin,872
Fulton,47546
Gilmer,484
Glascock,36
Glynn,3004
Gordon,1723
Grady,524
Greene,511
Gwinnett,27149
Habersham,1125
Hall,6115
Hancock,58
Haralson,664
Harris,436
Hart,605
Heard,152
Henry,6883
Houston,4021
Irwin,144
Jackson,1541
Jasper,124
Jeff Davis,327
Jefferson,98
Jenkins,161
Johnson,32
Jones,734
Lamar,432
Lanier,59
Laurens,1586
Lee,200
Liberty,1434
Lincoln,112
Long,76
Lowndes,3741
Lumpkin,772
Macon,245
Madison,727
Marion,139
McDuffie,684
McIntosh,362
Meriwether,540
Miller,109
Mitchell,107
Monroe,1162
Montgomery,103
Morgan,371
Murray,708
Muscogee,8453
Newton,978
Oconee,876
Oglethorpe,247
Paulding,1863
Peach,925
Pickens,609
Pierce,114
Pike,137
Polk,1163
Pulaski,146
Putnam,732
Quitman,29
Rabun,429
Randolph,95
Richmond,10408
Rockdale,3271
Schley,35
Screven,267
Seminole,141
Spalding,2389
Stephens,811
Stewart,42
Sumter,844
Talbot,147
Taliaferro,65
Tattnall,344
Taylor,129
Telfair,194
Terrell,175
Thomas,1455
Tift,1350
Toombs,790
Towns,214
Treutlen,229
Troup,2337
Turner,184
Twiggs,295
Union,160
Upson,743
Walker,1371
Walton,1522
Ware,1261
Warren,138
Washington,415
Wayne,559
Webster,28
Wheeler,60
White,793
Whitfield,3832
Wilcox,99
Wilkes,113
Wilkinson,161
Worth,410
Total,331612
